type,title,director_cleaned,cast_cleaned,country_cleaned,release_year,rating,date_added,duration,listed_in,Data_Quality_Notes
Movie,The Longshots,Fred Durst,"Ice Cube, Keke Palmer, Tasha Smith, Jill Marie Jones, Dash Mihok, Matt Craven, Glenn Plummer, Garrett Morris, Miles Chandler, Malcolm Goodwin",United States,2008,PG,"January 30, 2019",95 min,"Comedies, Dramas, Sports Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Look of Silence,Joshua Oppenheimer,,"Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",2014,PG-13,"February 26, 2016",103 min,"Documentaries, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving","New Zealand, United States",2003,PG-13,"January 1, 2020",201 min,"Action & Adventure, Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Christopher Lee, Billy Boyd, Dominic Monaghan, Orlando Bloom","New Zealand, United States",2002,PG-13,"January 1, 2020",179 min,"Action & Adventure, Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Love Guru,Marco Schnabel,"Mike Myers, Jessica Alba, Justin Timberlake, Ben Kingsley, Romany Malco, Meagan Good, Verne Troyer, Omid Djalili, Telma Hopkins","United Kingdom, Germany, United States",2008,PG-13,"November 20, 2019",87 min,"Comedies, Sports Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Lovers and the Despot,"Robert Cannan, Ross Adam",,United Kingdom,2016,TV-14,"February 23, 2017",98 min,"Documentaries, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The lynx,Stanisław Różewicz,"Jerzy Radziwiłowicz, Franciszek Pieczka, Piotr Bajor, Ryszarda Hanin, Janusz Paluszkiewicz, Henryk Machalica, Hanna Mikuć, Maria Klejdysz",Poland,1982,TV-14,"October 1, 2019",82 min,"Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Mad Monk,Johnny To,"Stephen Chow, Maggie Cheung, Anthony Wong Chau-Sang, Kirk Wong, Ng Man-Tat, Anita Mui",Hong Kong,1993,TV-14,"August 16, 2018",85 min,"Comedies, International Movies, Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Magic Pill,Robert Tate,"Pete Evans, William Davis, Loren Cordain","United States, Australia, South Africa, United Kingdom",2017,TV-PG,"April 24, 2018",90 min,Documentaries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Making of Frozen Planet,,David Attenborough,"United Kingdom, United States, Spain, Germany, Greece, Canada",2012,TV-PG,"January 28, 2016",1 Season,"British TV Shows, Docuseries, Science & Nature TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Man Who Would Be Polka King,"John Mikulak, Joshua Brown","Jan Lewan, Greg Korin",United States,2009,TV-14,"January 12, 2018",68 min,"Documentaries, Music & Musicals",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Mask of Zorro,Martin Campbell,"Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, Stuart Wilson, Matt Letscher, Tony Amendola, Pedro Armendáriz Jr., William Marquez, José Pérez, Victor Rivers","United States, Germany, Mexico",1998,PG-13,"January 1, 2020",138 min,"Action & Adventure, Romantic Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Matrix,"Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory",United States,1999,R,"November 1, 2019",136 min,"Action & Adventure, Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Matrix Reloaded,"Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Gloria Foster, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Randall Duk Kim, Nona Gaye",United States,2003,R,"November 1, 2019",138 min,"Action & Adventure, Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Mary Alice, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Nona Gaye",United States,2003,R,"November 1, 2019",129 min,"Action & Adventure, Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Mayo Clinic,"Ken Burns, Christopher Loren Ewers, Erik Ewers",Peter Coyote,United States,2018,TV-14,"April 19, 2019",116 min,Documentaries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Mayor,Park In-je,"Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park",South Korea,2017,TV-MA,"September 30, 2017",130 min,"Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,"The Memphis Belle: A Story of a
Flying Fortress",William Wyler,,United States,1944,TV-PG,"March 31, 2017",40 min,"Classic Movies, Documentaries",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Men Who Stare at Goats,Grant Heslov,"George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey, Stephen Lang, Robert Patrick, Waleed Zuaiter, Stephen Root, Glenn Morshower, Nick Offerman, Tim Griffin, Rebecca Mader","United States, United Kingdom",2009,R,"June 4, 2019",94 min,Comedies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Messengers,,"Shantel VanSanten, Diogo Morgado, JD Pardo, Joel Courtney, Jon Fletcher, Sofia Black D'Elia, Anna Diop, Craig Frank",United States,2015,TV-14,"April 17, 2016",1 Season,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Mind of a Chef,,"Anthony Bourdain, David Chang, Sean Brock, April Bloomfield, Edward Lee, Magnus Nilsson, Gabrielle Hamilton, David Kinch, Ludo Lefebvre",United States,2016,TV-PG," November 1, 2017",5 Seasons,Docuseries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Minimighty Kids,,,France,2012,TV-G," April 15, 2018",2 Seasons,"Kids' TV, TV Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Ministry of Time,,"Rodolfo Sancho, Aura Garrido, Nacho Fresneda, Cayetana Guillén Cuervo, Juan Gea, Jaime Blanch, Natalia Millan, Julián Villagrán, Hugo Silva, Francesca Piñón, Mar Saura, Ramón Langa, Andrés Gertrúdix, Macarena García",Spain,2017,TV-MA," January 28, 2018",3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Model,Mads Matthiesen,"Maria Palm, Ed Skrein, Yvonnick Muller, Charlotte Tomaszewska, Virgile Bramly, Marco Ilsø, Dominic Allburn",Denmark,2016,TV-MA,"December 6, 2016",104 min,"Dramas, Independent Movies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Monster,Bryan Bertino,"Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi, Marc Hickox, Scott Speedman, Chris Webb","United States, Canada",2016,R,"January 9, 2019",91 min,"Horror Movies, Independent Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Monster of Mangatiti,John Banas,"Greta Gregory, Mark Mitchinson, Bruce Hopkins, John Sumner, Flynn Allen, Harriet Beattie, Carolyn Dando, Laurie Dee, Ruth Dudding",New Zealand,2015,TV-MA,"December 15, 2015",70 min,Dramas,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Mortified Guide,,,United States,2018,TV-MA,"February 14, 2018",1 Season,Docuseries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Most Beautiful Hands of Delhi,,"Björn Kjellman, Joy Sengupta, Natasha Jayetileke",Sweden,2017,TV-MA,"July 20, 2017",1 Season,"International TV Shows, TV Comedies, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Muppets,James Bobin,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones, Kermit the Frog, Miss Piggy, Fozzie Bear, Gonzo, Muppets, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz",United States,2011,PG,"September 1, 2020",104 min,"Children & Family Movies, Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
